"Net migration rate (per 1,000 people)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2015","","2020",""
"150","Zimbabwe","1.7","","-5.5","","-9.0","","-11.7","","-8.3","","-9.4"," a","-8.2"," b"
"36","Andorra","..","","..","","..","","..","","..","","..","","..",""
"98","Dominica","..","","..","","..","","..","","..","","..","","..",""
"73","Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..",""
"18","Liechtenstein","..","","..","","..","","..","","..","","..","","..",""
"117","Marshall Islands","..","","..","","..","","..","","..","","..","","..",""
"55","Palau","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","1.4","","1.7","","2.3","","3.0","","3.8","","3.0","","2.5",""
" ","High human development","-0.3","","-0.7","","-0.6","","-0.7","","-0.7","","-0.3","","-0.4",""
" ","Medium human development","-0.4","","-0.7","","-0.5","","-1.1","","-1.3","","-0.9","","-0.8",""
" ","Low human development","-1.2","","1.7","","-1.1","","-0.5","","-1.0","","-1.8","","-0.9",""
" ","Developing Countries","-0.4","","-0.5","","-0.6","","-0.7","","-0.6","","-0.5","","-0.4",""
"","Regions"," ","","..","","..","","..","","..","","..","","..",""
" ","Arab States","-0.4","","0.1","","-1.2","","0.3","","3.0","","0.6","","-0.6",""
" ","East Asia and the Pacific","-0.0","","-0.3","","-0.1","","-0.6","","-0.6","","-0.3","","-0.3",""
" ","Europe and Central Asia","-2.0","","-4.4","","-4.0","","-1.5","","-0.8","","1.1","","0.8",""
" ","Latin America and the Caribbean","..","","..","","..","","..","","..","","-0.8","","-0.6",""
" ","South Asia","-0.1","","-0.0","","-0.4","","-0.6","","-1.1","","-0.9","","-0.7",""
" ","Sub-Saharan Africa","-0.3","","0.1","","-0.2","","-0.3","","-0.3","","-0.5","","-0.3",""
" ","Least Developed Countries","-1.4","","0.7","","-1.3","","-1.2","","-2.4","","-1.7","","-0.9",""
" ","Small Island Developing States","-3.5","","-2.0","","-2.2","","-2.3","","1.0","","-0.7","","-0.5",""
" ","Organization for Economic Co-operation and Development","1.0","","1.6","","2.0","","2.4","","2.5","","2.4","","2.4",""
" ","World","0.0","","0.1","","0.0","","0.0","","0.0","","0.0","","0.0",""
"a: Data are average annual estimates for 2010-2015."
"b: Data are average annual estimates for 2015 and 2020."
"c: Includes Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"d: Includes Nagorno-Karabakh."
"e: Includes Northern Cyprus."
"f: Includes ≈land Islands."
"g: Includes Abkhazia and South Ossetia."
"h: Includes Sabah and Sarawak."
"i: Includes Agalega, Rodrigues and Saint Brandon."
"j: Includes Transnistria."
"k: Includes Svalbard and Jan Mayen Islands."
"l: Includes East Jerusalem."
"m: Includes Kosovo."
"n: Includes Canary Islands, Ceuta and Melilla."
"o: Includes Zanzibar."
"p: Includes Crimea."
""
